"HolderAddress","Balance","PendingBalanceUpdate"
"0x9006b085b605d2a81772a2c3f1c365ce04c048a2","179.63297854545981096","No"
"0x5e6d720f6aaa39da16bcd7bc8198afaea8ea82a6","179.528118066793279264","No"
"0x45d07779bcd95c94d9e5465aaf262356775afe45","178.730712004496768615","No"
"0x2b4a661164015dd60b3124bec397d053d14cdb43","177.588584211060044304","No"
"0x2ed92a8d5508f538c4f2a413f091542a1e66416a","171.662333122158759546","No"
"0x92b774b7ce35b58eaf08962cdd4bdf15299d7c42","168.979621754808414395","No"
"0x98d840b40d060c9805a5b81ed04133a193e0227f","163.617456995406255033","No"
"0xed133b5e579c7c2aff0ea85e5a2227ae592a73a3","161.292079071173029451","No"
"0xce54ee39375577a68fac846f75a87ffbeaea2642","159.514448016003533881","No"
"0x5d64d14d2cf4fe5fe4e65b1c7e3d11e18d493091","150.922793256138397248","No"
"0xb28b9d08c4a1a44bfab8cdd5942a955331f9b67a","146.179392171469234088","No"
"0x3a87cf5b0bd26d305a0d13002701e2f161205ff2","145.067388546917885788","No"
"0x5f04502b04eac2426ee731e1f29e84884d038084","143.874368308826922457","No"
"0x3e57efef507b4db7acfa2ee79ceca6b19e18d106","143.392698589926495792","No"
"0x97f9085c85121279eaa360d7c3c0e3a491200001","140.882597265349936106","No"
"0x69420a842c1769789ffa0d62ddb44036a304f3dd","139.946797991907550547","No"
"0x6826727e5a46cd6b6cdacb71345e0569c73f5937","139.210688410339507594","No"
"0x306d4c4f16e81bf9ad5b27ca32cf23c6ddc2da51","138.96416708654096203","No"
"0x145da5fddd81c9b62b58180351a9b6379c47f1aa","136.648479212122969968","No"
"0xe6e518c524257bfb8fbc9397e9a1598b4459d4b7","133.6186782543619353","No"
"0xbfc6215a9e6b79bff5be022445ec000b1989556f","130.512867869130778707","No"
"0x04bda42de3bc32abb00df46004204424d4cf8287","129.231250663197780133","No"
"0x6150b4d7b46a9e7e72343e4b0bb4b9db64e6077f","128.574959570752948226","No"
"0x3926642bb55a6ef5d4d30182bfd3aca97703bfb4","117.094794440805899295","No"
"0x4e3c9647e992a4e5944cd9bafee40021169069fd","112.386718848664190969","No"
"0x3b281fb69b2af236d9a8ff882236ebb1b82baedb","100.172653215111044706","No"
"0x498b7b7ddb5e057e5d055c4e59f839dbd6e26ff4","98.50157865901178449","No"
"0x5f56755c0deab1322655e615818ecdbbc7bedbdd","93.872574661458500157","Yes"
"0x2616528437dc0dcf9195a1ad22e7d779ab0ced7f","93.556224476807344251","No"
"0x1cf7d64894d3c731d0701bcba7f706ad17369110","92.452958958743893606","No"
"0xbc0f97138a63ceb6546ef4b2f8186ae03f9a2a4d","91.037169446295531286","No"
"0x564539d2a4f73ff26ee573a73dfee83a8f9951b8","89.092935030748369322","No"
"0x273ebff3bda08d0699c3bbdd701dcc986d7e5f76","85.750911780666380612","No"
"0x3b9728bd65ca2c11a817ce39a6e91808cceef6fd","85.315728429919773387","No"
"0xc60d058f18f4d74441b2d9b239a3d4e7c4d93342","83.891801345631583672","No"
"0x8129c94d2f2b18fa4b63bd0a3b64ede4823374ae","82.62675873028220032","No"
"0xc8f455dada38ae63199a1edf162571bcc20560d4","81.803117015542529464","No"
"0x96d80fdec427117b5bed01bd24fb3c960487e872","81.170251717358417449","No"
"0x401f140584fcfbb02ff5ddcd4fa298b7ec0edb5a","79.71186104969797795","No"
"0x6169d055a1602c5f673b58029a501d41d8b2287b","78.339954612687040721","No"
"0xdbe1a101b489f64694f42a18c1ceeb3e39866c96","77.303098917","No"
"0x22c759dfd7b84f7d3b53d8bb8c8df6383a9c27d1","74.734103232566016232","No"
"0xc30cf256dfc731193a4fe2b02c89bf1815ec70a5","73.459695188856069783","No"
"0x76a147d3ded227180fc5daa5c5523630c32ee4b6","71.554501103567007431","No"
